Hora,Temperatura,Humidade,Pressao,Intensidade da Luz(lux),Intensidade da Luz(W/m2)
10:32,7.3,59.34,993.82,386345.5,3166.87
10:33,7.48,58.5,993.84,388311.6,3182.99
10:34,7.62,59.45,993.82,390277.66,3199.11
10:35,7.69,58.07,993.83,390277.67,3199.11
10:36,7.78,57.93,993.82,390277.66,3199.11
10:37,7.84,57.31,993.8000000000001,392243.72,3215.22
10:38,7.95,58.35,993.8100000000001,392243.73,3215.22
10:39,7.96,57.36,993.7900000000001,392243.71,3215.22
10:40,7.92,59.51,993.82,392243.74,3215.22
10:41,7.99,59.49,993.8000000000001,392243.72,3215.22
10:42,8.04,58.48,993.76,392243.68,3215.22
10:43,8.06,58.68,993.76,392243.68,3215.22
10:44,7.93,58.74,993.77,394209.77,3231.34
10:45,7.81,57.75,993.72,394209.72,3231.34
10:46,7.65,58.34,993.76,394209.76,3231.34
10:47,7.57,59.02,993.78,394209.78,3231.34
10:48,7.61,59.86,993.8100000000001,396175.89,3247.45
10:49,7.65,59.47,993.76,396175.84,3247.45
10:50,7.86,60.27,993.73,398141.89,3263.57
10:51,8.02,60.74,993.74,398141.9,3263.57
10:52,8.13,58.97,993.71,398141.87,3263.57
10:53,8.1,57.54,993.72,398141.88,3263.57
10:54,8.04,58.75,993.6700000000001,398141.83,3263.57
10:55,8.03,58.62,993.6800000000001,398141.84,3263.57
10:56,8,58.15,993.65,400107.89,3279.68
10:57,8.17,59.71,993.61,400107.85,3279.68
10:58,8.24,59.53,993.63,402073.95,3295.8
10:59,8.37,59.2,993.59,402073.91,3295.8
11:00,8.3,58.57,993.6,400107.84,3279.68
11:01,8.21,58.33,993.61,400107.85,3279.68
11:02,8.26,58.21,993.57,402073.89,3295.8
11:03,8.26,57.61,993.52,400107.76,3279.68
11:04,8.3,58.34,993.5,404039.9,3311.92
11:05,8.44,57.87,993.52,404039.92,3311.92
11:06,8.54,57.46,993.49,404039.89,3311.91
11:07,8.62,57.56,993.49,404039.89,3311.91
11:08,8.55,56.11,993.46,406005.94,3328.03
11:09,8.48,56.66,993.4300000000001,406005.91,3328.03
11:10,8.38,56.92,993.45,407972.01,3344.15
11:11,8.41,56.17,993.48,407972.04,3344.15
11:12,8.4,56.6,993.45,407972.01,3344.15
11:13,8.48,56.67,993.44,407972,3344.15
11:14,8.55,57.76,993.4200000000001,409938.06,3360.26
11:15,8.64,58.16,993.4200000000001,407971.98,3344.15
11:16,8.62,58.75,993.36,409938,3360.26
11:17,8.64,57.58,993.38,409938.02,3360.26
11:18,8.69,56.86,993.34,409937.98,3360.26
11:19,8.68,56.47,993.3100000000001,409937.95,3360.26
11:20,8.52,56.76,993.35,409937.99,3360.26
11:21,8.45,56.49,993.3000000000001,411904.02,3376.38
11:22,8.31,57.92,993.33,411904.05,3376.38
11:23,8.31,57.25,993.26,413870.06,3392.49
11:24,8.4,58.57,993.32,413870.12,3392.49
11:25,8.48,58.35,993.32,413870.12,3392.49
11:26,8.52,59.23,993.34,413870.14,3392.49
11:27,8.51,56.48,993.28,413870.08,3392.49
11:28,8.38,56.92,993.23,413870.03,3392.49
11:29,8.37,56.55,993.23,413870.03,3392.49
11:30,8.43,58.75,993.26,416491.5,3413.98
11:31,8.5,59.2,993.26,416491.5,3413.98
11:32,8.59,56.84,993.1700000000001,416491.41,3413.98
11:33,8.48,57.63,993.22,416491.46,3413.98
11:34,8.48,57.73,993.23,416491.47,3413.98
11:35,8.51,57.38,993.24,416491.48,3413.98
11:36,8.52,57.92,993.25,416491.49,3413.98
11:37,8.44,57.19,993.21,416491.45,3413.98
11:38,8.48,57.78,993.1700000000001,416491.41,3413.98
11:39,8.54,56.78,993.09,418457.41,3430.1
11:40,8.71,56.55,993.07,420423.47,3446.21
11:41,8.85,56.57,993.0600000000001,420423.46,3446.21
11:42,9.07,57.82,993.0400000000001,420423.44,3446.21
11:43,9.19,56.36,993.01,418457.33,3430.09
11:44,9.13,56.54,993.02,418457.34,3430.09
11:45,9.12,55.42,992.94,416491.18,3413.98
11:46,9.21,55.44,992.91,420423.31,3446.21
11:47,9.2,55.56,992.88,420423.28,3446.21
11:48,9.13,56.36,992.85,420423.25,3446.21
11:49,9.16,58.35,992.85,420423.25,3446.21
11:50,9.03,55.88,992.87,418457.19,3430.09
11:51,8.95,55.6,992.88,418457.2,3430.09
11:52,8.96,55.59,992.8100000000001,418457.13,3430.09
11:53,8.89,55.86,992.8100000000001,418457.13,3430.09
11:54,8.92,56.86,992.7900000000001,418457.11,3430.09
11:55,8.83,56.9,992.76,420423.16,3446.21
11:56,8.82,57.62,992.78,420423.18,3446.21
11:57,8.78,57.15,992.75,420423.15,3446.21
11:58,8.76,57.01,992.71,420423.11,3446.21
