Hora,Temperatura,Humidade,Pressao,Intensidade da Luz(lux),Intensidade da Luz(W/m2)
15:18,10.46,59.98,988.33,318182.57,2608.14
15:19,10.44,58.18,988.25,316216.41,2592.03
15:20,10.48,57.83,988.28,316216.44,2592.03
15:21,10.58,57.93,988.25,314250.33,2575.91
15:22,10.71,57.64,988.22,312284.22,2559.79
15:23,10.78,58.08,988.22,312284.22,2559.79
15:24,10.88,58.51,988.21,312284.21,2559.79
15:25,10.83,56.64,988.16,312284.16,2559.79
15:26,10.75,57.01,988.19,312284.19,2559.79
15:27,10.65,57.38,988.1700000000001,310318.09,2543.68
15:28,10.68,57.47,988.14,306385.9,2511.45
15:29,10.79,57.58,988.12,303764.44,2489.96
15:30,10.86,57.53,988.11,303764.43,2489.96
15:31,10.88,57.73,988.1,303764.42,2489.96
15:32,10.76,56.94,988.0600000000001,303764.38,2489.96
15:33,10.69,57.32,988.09,301798.33,2473.84
15:34,10.69,57.65,988.09,290001.85,2377.15
15:35,10.79,58.84,988.0600000000001,299832.22,2457.72
15:36,10.82,57.48,988.01,299832.17,2457.72
15:37,10.85,57.43,988.03,297866.11,2441.61
15:38,10.83,57.53,988.0500000000001,295900.05,2425.49
15:39,10.91,58.13,988.0500000000001,295900.05,2425.49
15:40,11.06,58.4,988.07,295900.07,2425.49
15:41,11.07,57.09,987.99,290001.75,2377.14
15:42,11.05,57.68,988.02,291967.86,2393.26
15:43,11.01,56.62,987.98,290001.74,2377.14
15:44,10.88,56.93,988.02,288035.7,2361.03
15:45,10.83,56.71,988.03,280171.39,2296.56
15:46,10.85,57.6,988.0600000000001,284103.58,2328.8
15:47,10.93,58.11,988.08,286069.68,2344.91
15:48,10.98,56.7,988.02,284103.54,2328.8
15:49,11.09,56.61,987.96,284103.48,2328.8
15:50,11.26,56.03,987.94,282137.38,2312.68
15:51,11.34,56.28,987.95,280171.31,2296.56
15:52,11.45,56.09,987.91,278205.19,2280.45
15:53,11.38,56.21,987.96,276239.16,2264.33
15:54,11.26,56.95,987.96,274273.08,2248.22
15:55,11.16,57.02,987.95,272306.99,2232.1
15:56,11.09,57,987.99,272307.03,2232.1
15:57,11.05,56.94,987.98,270340.94,2215.98
15:58,10.93,57.19,988,270340.96,2215.98
15:59,10.86,57.65,988,267719.52,2194.5
16:00,10.83,58.6,987.97,265753.41,2178.38
16:01,10.8,60.16,987.97,263787.33,2162.26
16:02,10.74,58.44,987.96,261821.24,2146.15
16:03,10.62,59.49,987.96,259855.16,2130.03
16:04,10.54,58.87,987.98,259855.18,2130.03
16:05,10.51,58.86,987.99,257889.11,2113.92
16:06,10.48,59.16,987.96,257233.72,2108.54
16:07,10.46,59.62,987.99,255267.67,2092.43
16:08,10.44,58.89,987.97,253956.93,2081.68
16:09,10.41,59.04,987.98,253301.58,2076.31
16:10,10.44,58.73,988.01,251335.53,2060.2
16:11,10.43,59.57,987.97,248714.05,2038.71
16:12,10.46,59.05,987.98,246747.98,2022.59
16:13,10.5,59.84,988,246092.64,2017.22
16:14,10.46,58.41,987.95,244126.51,2001.11
16:15,10.47,59.04,987.96,242815.8,1990.36
16:16,10.5,59.53,987.97,240849.73,1974.25
16:17,10.48,58.47,987.96,238883.64,1958.13
16:18,10.48,58.78,987.9300000000001,236917.53,1942.01
