Hora,Temperatura,Humidade,EC,pH
11:39,31.07,13.42,13,5.06
12:39,32.99,13.42,12,5.03
13:39,35.01,13.31,12,5.01
18:39,33.71,13.01,12,4.87
19:39,30.51,12.7,12,4.81
20:39,27.96,12.54,12,4.76
21:39,26.12,12.54,12,4.72
22:39,24.69,12.54,12,4.69
23:39,23.66,12.54,13,4.67
