Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
10:23,36.7,42.1,32.9,26.3,25.9,9.045226130653266,346033.9,95
11:27,37.4,43.3,34.8,26.8,25.9,9.045226130653266,7.4,95
12:31,41.3,41.6,35.1,27.4,25.9,9.497487437185919,346033.9,95
13:35,45.2,39.2,35.2,28,26,9.045226130653266,346033.9,95
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
14:39,36.6,40.8,34.8,28.5,26.1,8.542713567839195,346033.9,95
15:43,34.4,40.6,33.8,28.9,26.4,8.040201005025125,346033.9,95
16:46,33.9,38,32.8,29.1,26.6,7.5376884422110555,1.4,95
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
17:49,34.3,39.6,32.1,29.2,26.8,7.085427135678404,4.2,95
18:53,32.5,45.5,31.6,29.2,26.9,7.035175879396985,346033.9,95
19:56,28.6,59.9,30.8,29.1,27,6.532663316582915,96753.9,95
20:58,25.4,69.2,29.6,29,27.1,6.482412060301496,4546.1,95
22:01,23.1,78.9,28.4,28.8,27.1,6.030150753768845,0.5,95
23:05,21.7,82.2,27.4,28.5,27.1,6.030150753768845,-2,95
