Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
10:39,34.1,26.1,25.1,37.79591836734695,96
11:46,35.2,27.4,25.4,37.591836734693885,95
12:53,34.8,28.3,25.8,37.306122448979586,96
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
13:59,33.2,28.9,26.2,37.55102040816327,96
15:06,32.2,28.9,26.6,36.897959183673464,96
16:12,-127,28.8,26.8,36.6938775510204,96
17:18,30.6,28.7,26.9,36.65306122448978,96
18:24,30.3,28.5,27.1,36.65306122448978,96
19:30,29.3,28.3,27.1,36.6122448979592,96
20:35,27.5,28,27.1,36.65306122448978,96
21:41,26,27.5,27,36.81632653061226,96
22:47,24.9,27.1,26.9,36.9795918367347,96
23:52,24,26.6,26.7,37.428571428571445,96
