1:00,20,22.6,23.6,38.16326530612245,97
2:05,19.8,22.4,23.3,38.40816326530613,97
3:11,19.3,22.1,23.1,38.775510204081634,97
4:16,18.9,21.8,22.9,39.020408163265316,97
5:21,19,21.6,22.8,39.14285714285714,97
6:27,19.1,21.4,22.6,39.42857142857144,97
7:32,19.8,21.3,22.5,40.04081632653062,97
8:38,20.6,21.4,22.4,40.12244897959182,97
9:43,22.6,21.8,22.3,40,97
10:49,26.6,22.3,22.4,39.7142857142857,96
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
13:03,28.4,24.6,22.8,40,96
14:09,27.3,24.8,23.2,39.75510204081632,96
15:15,26.3,24.8,23.4,39.59183673469388,96
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
18:32,24.6,24.5,23.8,40.2857142857143,96
