0:14,21.1,23.6,23.8,33.007518796992464,95
1:21,20.9,23.2,23.7,33.120300751879704,95
2:29,20.6,23,23.6,32.85714285714285,95
3:36,20.2,22.8,23.4,33.04511278195488,95
4:43,19.9,22.6,23.3,33.383458646616525,95
5:50,19.8,22.4,23.2,33.759398496240586,95
6:57,19.9,22.3,23.1,33.34586466165415,95
8:05,20.4,22.2,23,33.308270676691734,95
9:12,20.9,22.1,22.9,33.308270676691734,95
10:20,21.9,22.2,22.8,33.27067669172932,95
11:28,23.6,22.3,22.8,33.23308270676691,95
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
12:35,23.6,22.6,22.8,33.15789473684212,95
13:43,23.6,22.8,22.8,33.007518796992464,95
14:51,23.8,22.9,22.9,32.93233082706767,95
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
18:15,26.8,23.6,23.1,32.85714285714285,95
