Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
18:49,27.1,74.2,24.4,23.4,22.3,4.05727923627685,213532.6,98
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
19:56,26.4,60.9,24.2,23.3,22.3,4.081145584725542,101399.9,98
21:03,23,74.5,23.9,23.3,22.3,4.05727923627685,4135.3,99
22:11,21.4,82.3,23.4,23.2,22.4,4.2959427207637235,-2,99
23:19,20.2,91.8,23.1,23.1,22.4,4.439140811455853,-2,99
