Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
14:22,33.6,41.1,25,22.9,22.5,7.875894988066825,346033.9,97
15:29,31.9,44.9,25.4,23.2,22.6,7.159904534606206,346033.9,97
16:37,25.6,71.2,25.3,23.5,22.8,6.420047732696892,346033.9,97
17:44,26.5,83,24.8,23.7,22.8,6.825775656324588,346033.9,97
18:51,24.2,75.3,24.5,23.8,22.9,7.231503579952256,213532.6,97
19:58,23.3,82.5,24.2,23.8,23.1,7.637231503579952,105459.7,97
21:05,20.2,92.5,23.9,23.7,23.1,7.923627684964211,3308,97
22:13,18.7,96.2,23.4,23.6,23.1,8.735083532219576,-2,97
23:21,17.7,97.4,22.9,23.5,23.1,9.427207637231504,-2,97
