Hora,Temperatura (ºC),Humidade (%),CO2
13:46,33.81,39.28,350
13:47,33.65,39.94,350
13:48,33.72,41.16,350
13:49,33.96,39.95,350
13:50,34.08,39.3,350
13:51,34.15,39.53,350
13:52,34.09,38.83,350
13:53,34.19,39.63,350
13:54,34.27,40.62,350
13:55,34.43,40.33,350
13:56,34.26,38.95,350
13:57,33.99,39.16,350
13:58,33.98,38.55,350
13:59,34.03,38.51,350
14:00,34.17,39.12,350
14:01,34.15,38.63,350
14:02,34.18,40.24,350
14:03,34.06,40.97,350
14:04,34.11,39.53,350
14:05,34.25,38.5,350
14:06,34.18,39.6,350
14:14,34.3,39.9,350
14:14,34.52,40.73,350
14:14,34.52,40.73,350
14:14,34.03,38.92,350
14:15,34.52,40.73,350
14:15,35.11,39.45,350
14:15,35.11,39.45,350
14:15,35.11,39.45,350
14:16,35.11,39.45,350
14:17,35.44,38.33,350
14:18,35.26,37.22,350
14:19,35.06,37.02,350
14:20,35.04,39.15,350
14:21,35.08,39.21,350
14:22,35.31,39.03,350
14:23,34.98,38.34,350
14:24,34.85,38.54,350
14:25,34.83,38.75,350
14:26,34.63,38.49,350
14:27,34.71,37.88,350
14:28,35.06,39.12,350
14:29,35.06,39.12,350
19:09,35.51,36.03,350
19:09,35.18,35.41,350
19:11,-1,-1,-1
19:11,-1,-1,-1
19:21,-1,-1,-1
19:21,33.53,37.6,350
19:24,-1,-1,-1
19:25,-1,-1,-1
19:26,31.47,42.48,350
19:26,-1,-1,-1
19:26,-1,-1,-1
19:27,31.58,42.2,350
19:27,31.58,42.2,350
19:27,31.58,42.2,350
19:39,-1,-1,-1
19:43,-1,-1,-1
20:07,28.55,54.46,350
20:57,26.61,57.19,350
21:17,24.99,63.55,350
21:20,24.77,64.45,350
21:24,-1,-1,-1
21:24,24.96,63.2,350
21:26,24.99,63.11,350
21:26,-1,-1,-1
21:28,24.79,63.64,350
21:29,24.62,64.02,350
21:40,-1,-1,-1
21:40,-1,-1,-1
22:01,-1,-1,-1
22:03,23.34,67.12,350
22:04,-1,-1,-1
22:05,23.32,67.45,350
22:06,23.32,67.45,350
22:07,23.3,67.47,350
22:07,23.3,67.47,350
22:08,-1,-1,-1
22:10,-1,-1,-1
22:11,23.27,67.83,350
22:13,23.16,67.82,350
22:15,22.79,69.01,350
22:19,22.54,70.95,350
22:38,-1,-1,-1
22:38,-1,-1,-1
22:39,-1,-1,-1
22:39,22.29,67.18,350
22:39,-1,-1,-1
22:39,-1,-1,-1
22:39,-1,-1,-1
22:40,22.29,67.18,350
22:40,-1,-1,-1
22:40,22.29,67.18,350
22:40,22.29,67.18,350
22:40,-1,-1,-1
22:40,-1,-1,-1
22:40,22.25,67.21,350
22:40,-1,-1,-1
22:40,22.25,67.21,350
22:40,22.25,67.21,350
22:43,22.15,67.83,350
22:44,22.2,67.6,350
22:47,22.15,67.56,350
22:49,-1,-1,-1
22:49,-1,-1,-1
22:49,22,68.4,350
23:00,21.71,68.85,350
23:23,21.56,69.99,350
23:59,20.9,72.05,350
