Hora,Temperatura (ºC),Humidade (%),CO2
9:55,26.35,57.46,350
9:56,26.35,57.14,350
9:57,26.41,56.95,350
9:58,26.47,56.54,350
9:59,26.45,57.49,350
10:00,26.59,56.81,350
10:01,26.68,55.86,350
10:02,26.69,57.07,350
10:03,26.72,55.51,350
10:04,26.83,55.8,350
10:05,26.94,55.39,350
10:06,26.96,55.36,350
10:07,26.89,55.18,350
10:08,26.86,55.45,350
10:09,26.92,55.07,350
10:10,27.06,55.01,350
10:11,27.15,54.47,350
10:12,27.23,54.63,350
10:13,27.19,55.39,350
10:14,27.22,55.36,350
10:15,27.05,55.18,350
10:16,26.96,55.09,350
10:17,26.99,55.36,350
10:18,27.04,55.27,350
10:19,27.15,55.33,350
10:20,27.23,56.24,350
10:21,27.15,56.37,350
10:22,27.02,55.07,350
10:23,27.03,56.1,350
10:24,27.09,54.95,350
10:25,27.12,55.3,350
10:26,27.16,55.89,350
10:27,27.07,55.39,350
10:28,27.05,55.21,350
10:29,27.02,55.89,350
10:30,27.15,56.24,350
10:31,27.17,54.8,350
10:32,27.16,55.09,350
10:33,27.15,55.51,350
10:34,27.26,55.12,350
10:35,27.39,56.98,350
10:36,27.75,56.24,350
10:37,27.94,54.82,350
10:38,28.1,55.14,350
10:39,28.29,53.9,350
10:40,28.42,52.5,350
10:41,28.44,53.24,350
10:42,28.38,53.28,350
10:43,28.23,52.92,350
10:44,28.18,53.22,350
10:45,28.04,53.99,350
10:46,27.96,53.85,350
10:47,28,54.14,350
10:48,28.06,54.79,350
10:49,27.93,53.55,350
10:50,27.89,54.35,350
10:51,28.09,53.66,350
10:52,28.4,53.48,350
10:53,28.54,52.3,350
10:54,28.54,52.57,350
10:55,28.46,52.63,350
10:56,28.48,52.65,350
10:57,28.6,52.83,350
10:58,28.78,52.12,350
10:59,28.97,53.12,350
11:00,29.23,52.11,350
11:01,29.4,51.21,350
11:02,29.4,52.55,350
11:03,29.56,51.92,350
11:04,29.75,51.19,350
11:05,29.79,50.05,350
11:06,29.65,50.66,350
11:07,29.56,50.29,350
11:08,29.57,50.42,350
11:09,29.56,50.46,350
11:10,29.63,50.32,350
11:11,29.73,49.58,350
11:12,29.78,50.41,350
11:13,30.03,49.45,350
11:14,30.08,48.75,350
11:15,29.79,49.94,350
11:16,29.79,50.48,350
11:17,29.94,50.35,350
11:18,30.08,49.8,350
11:19,30.07,49.39,350
11:20,29.99,50.48,350
11:21,29.84,49.94,350
11:22,29.71,52.06,350
11:23,29.64,50.99,350
11:24,29.56,51.1,350
11:25,29.51,51.35,350
11:26,29.35,50.98,350
11:27,29.44,52.7,350
11:28,29.73,50.65,350
11:29,29.94,50.38,350
11:30,30.14,50.09,350
11:31,30.18,50.94,350
11:32,30.27,49.28,350
11:33,30.18,49.14,350
11:34,30.11,51.99,350
11:35,30.09,50.23,350
11:36,29.89,49.33,350
11:37,29.82,51.86,350
11:38,29.86,49.7,350
11:39,29.98,50.28,350
11:40,30.17,50.57,350
11:41,30.26,49.31,350
11:42,30.28,50.12,350
11:43,30.4,49.77,350
11:44,30.32,49.35,350
11:45,30.23,49.28,350
11:46,30.23,51.51,350
11:47,30.05,50.87,350
11:48,29.86,50.51,350
11:49,29.72,50.38,350
11:50,29.6,52.87,350
11:51,29.7,50.11,350
11:52,29.9,50.68,350
11:53,30.11,49.39,350
11:54,30.3,49.45,350
11:55,30.54,49.23,350
11:56,30.53,48.69,350
11:57,30.54,49.84,350
11:58,30.71,48.51,350
11:59,30.77,48.24,350
12:00,30.69,49.97,350
12:01,30.7,48.82,350
12:02,30.48,48.63,350
12:03,30.39,49.84,350
12:04,30.29,50.73,350
12:05,30.38,49.23,350
12:06,30.3,49.31,350
12:07,30.27,50.42,350
12:08,30.26,50.8,350
12:09,30.22,50.09,350
12:10,30.38,50.82,350
12:11,30.55,48.68,350
12:12,30.67,49.16,350
12:13,30.93,49.11,350
12:14,31.29,48.68,350
12:15,31.58,48.46,350
12:16,31.7,46.81,350
12:17,31.75,47.72,350
12:18,31.86,46.55,350
12:19,31.84,47.58,350
12:20,31.79,46.39,350
12:21,31.84,47.33,350
12:22,32.02,46.41,350
12:23,32.15,46.64,350
12:24,32.32,47.41,350
12:25,32.44,45.67,350
12:26,32.52,44.68,350
12:27,32.31,44.25,350
12:28,32.1,45.72,350
12:29,32.31,46.11,350
12:30,32.35,44.59,350
12:31,32.25,45.81,350
12:32,32.23,46.87,350
12:33,32.38,44.83,350
12:34,32.39,44.11,350
12:35,32.24,44.49,350
12:36,32.09,46,350
12:37,32.04,44.98,350
12:38,32.18,45.32,350
12:39,32.4,46.29,350
12:40,32.65,44.53,350
12:41,32.78,43.57,350
12:42,32.79,44.73,350
12:43,32.81,43.75,350
12:44,32.76,42.59,350
12:45,32.68,42.87,350
12:46,32.55,44.07,350
12:47,32.68,43.42,350
12:48,32.53,45.3,350
12:49,32.2,44.4,350
12:50,31.96,44.17,350
12:51,31.88,44.22,350
12:52,31.82,44.39,350
12:53,31.84,44.05,350
12:54,31.86,44.15,350
12:55,31.96,45.49,350
12:56,32.15,43.82,350
12:57,32.31,43.67,350
12:58,32.44,43.69,350
12:59,32.47,42.33,350
13:00,32.37,43.71,350
13:01,32.6,43.85,350
13:02,32.75,42.77,350
13:03,32.58,44.85,350
13:04,32.45,45.56,350
13:05,32.42,44.34,350
13:06,32.41,45.02,350
13:07,32.14,44.43,350
13:08,32.09,44.88,350
13:09,32.26,43.37,350
13:10,32.16,44.88,350
13:11,32.22,46.4,350
13:12,32.22,44.94,350
13:13,32.24,43.96,350
13:14,32.12,43.75,350
13:15,32.07,43.9,350
13:16,31.93,44.24,350
13:17,31.96,44.98,350
13:18,32.05,44.01,350
13:19,32.24,43.82,350
13:20,32.45,43.12,350
13:21,32.56,43.19,350
13:22,32.68,42.7,350
13:23,32.8,45,350
13:24,33.13,43.99,350
13:25,33.2,42.4,350
13:26,33.04,43.8,350
13:27,33.13,44.77,350
13:28,33.32,43.37,350
13:29,33.45,42.78,350
13:30,33.36,42.08,350
13:31,33.1,43.52,350
13:32,33,43.05,350
13:33,33.21,43.72,350
13:34,33.2,42.33,350
13:35,33.03,43.94,350
13:36,33.04,44.38,350
13:37,33.06,42.78,350
13:38,33.09,44.04,350
13:39,32.98,42.13,350
13:40,33,42.57,350
13:41,33.22,43.01,350
13:42,33.3,42.17,350
