Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
14:36,31.9,43.6,26.3,22.5,21.9,52.2033898305084,4.6,96
15:43,24.5,66.8,26.8,23.1,22.1,50.847457627118644,55565.9,96
16:49,19.8,90.9,24.3,23.3,22.3,49.830508474576234,3.7,96
17:55,25.1,83.2,23.8,23,22.4,50.847457627118644,85809.1,96
19:09,33.1,53.9,25.3,23.1,22.4,50.847457627118644,135656.7,96
20:07,27.4,68.8,25.4,23.4,22.5,49.49152542372889,25415.3,96
21:13,18.7,100,23.8,23.4,22.6,49.152542372881356,610.7,96
22:20,16.7,100,22.1,23.1,22.7,47.45762711864407,-2,96
23:26,15.8,100,21,22.7,22.6,48.13559322033895,-2,96
