Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
9:55,31.8,50.6,25.1,24.8,25.3,7.118644067796687,2.8,95
11:02,33.6,47.9,28.7,25,25.1,6.779661016949152,34668,95
12:08,33.4,48,29.1,25.4,25.1,5.423728813559399,346033.9,95
13:15,35.6,41.3,29.6,25.8,25.1,5.084745762711864,34409.7,95
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
14:21,38.5,34.3,30.9,26.2,25.2,3.728813559322111,1.8,95
15:28,40.9,30.9,33.4,26.8,25.3,3.389830508474576,2.8,95
16:35,44.5,17.8,36.6,27.6,25.6,3.389830508474576,346033.9,95
17:43,39.4,28,37.6,28.6,25.9,1.694915254237288,33022.8,95
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
18:49,35,36.2,36.9,29.3,26.2,0,3.7,95
19:56,29.8,52.3,34.1,29.4,26.6,-0.5084745762711094,2.3,95
21:02,25.6,67.8,31.1,29.1,26.8,-1.694915254237288,1332.4,95
22:09,23.4,76.2,28.9,28.5,26.8,-1.694915254237288,-2,95
23:16,22.2,78,27.4,27.9,26.8,-1.694915254237288,-2,95
