0:42,16.5,100,19.3,23.2,24.2,22.943548387096765,96
1:48,16.5,100,19.3,22.8,24,23.064516129032278,96
2:55,15.6,100,18.6,22.6,23.8,23.22580645161291,96
4:01,15,100,18.1,22.3,23.6,23.22580645161291,96
5:07,15.7,100,18.2,21.9,23.4,23.588709677419356,96
6:13,16.1,100,18.4,21.8,23.3,23.83064516129033,96
7:20,17.6,100,19.3,21.7,23.1,23.8709677419355,96
8:26,19.2,100,20.8,21.8,22.9,24.032258064516135,96
9:33,22.5,82.6,23.6,21.9,22.9,23.8709677419355,96
10:40,26.8,67.4,28,22.4,22.9,23.46774193548389,95
11:47,28.8,49.9,32.8,23.4,22.9,22.661290322580662,95
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
12:55,26.2,53,30.9,24.5,23.1,22.74193548387096,95
14:02,25.4,53,28.4,24.8,23.3,22.540322580645153,95
15:09,27,48.9,27.1,24.6,23.4,22.701612903225787,95
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
18:29,23.9,52.6,25.9,24.4,23.8,22.580645161290324,96
