Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
11:00,32.9,47.5,38.3,24.8,22.9,19.596774193548395,96
12:09,36.8,39.6,41.2,26.5,23.2,18.709677419354833,96
13:17,36.9,43.4,41,28.1,23.6,17.58064516129033,96
14:25,33.9,45.5,37.3,29.1,24.2,17.419354838709697,96
18:53,32.6,45.8,32.4,27.8,25.2,17.09677419354838,96
20:00,27.8,60.5,29.4,27.6,25.3,17.58064516129033,96
21:06,24.7,68.3,26.9,27,25.3,17.661290322580626,96
22:13,22.1,79,24.7,26.3,25.3,18.06451612903224,96
23:19,20.3,82,23.2,25.6,25.1,18.306451612903217,96
