Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
14:27,29.1,47.5,32.4,25.3,22.9,22.419354838709683,95
15:34,26,53.7,31.1,25.6,23.1,22.419354838709683,95
16:41,20,88.2,25.6,25.4,23.4,22.177419354838708,95
17:47,23.7,78.2,24.9,24.8,23.5,22.661290322580662,95
18:54,24,77.6,24.8,24.4,23.6,22.580645161290324,95
20:00,22.6,81.8,23.7,24.1,23.6,22.782258064516128,95
21:07,18.5,97.1,21.7,23.8,23.5,22.8225806451613,95
22:13,16.6,100,19.9,23.4,23.5,23.18548387096774,96
23:19,15.6,100,18.8,22.8,23.4,23.34677419354838,95
