Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
11:38,28.6,100,24.2,24.3,23.8,10.38961038961039,96
12:47,29.2,100,24.8,24.3,23.8,10.38961038961039,96
13:56,32.4,99.5,25.7,24.4,23.8,10.194805194805225,96
18:34,35.4,80.9,30.3,26.4,24.3,8.896103896103925,96
19:42,33.4,79.3,30.3,26.9,24.5,8.506493506493522,96
20:50,30,86.1,29.8,27.3,24.8,8.116883116883116,96
21:58,27.6,90.1,29.1,27.4,25.1,7.792207792207792,96
23:05,25.8,93.5,28.3,27.4,25.3,7.922077922077952,96
