0:09,-127,-127,23.6,39.91967871485943,97
1:16,-127,-127,23.5,39.91967871485943,97
2:23,-127,-127,23.4,39.91967871485943,97
3:29,-127,-127,23.3,39.43775100401608,97
4:36,-127,-127,23.1,40.48192771084336,97
5:42,-127,-127,23,39.277108433734924,97
6:49,-127,-127,22.8,40.04016064257029,97
7:56,-127,21.8,22.7,40.08032128514055,97
9:02,-127,21.8,22.6,40.20080321285141,97
10:09,-127,21.7,22.4,40.281124497991954,97
11:16,-127,21.7,22.3,40.04016064257029,97
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
12:23,-127,21.8,22.3,39.91967871485943,97
13:30,-127,21.8,22.3,39.83935742971889,97
14:37,22.6,21.9,22.3,39.7991967871486,97
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
18:00,26.1,23,22.9,38.39357429718876,97
