Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
18:47,34.6,30.6,29.1,24.6,22.1,11.188811188811188,346033.9,98
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
19:53,28.3,46.2,28.7,25,22.4,12.727272727272732,177917.8,98
20:59,24,60.6,27.6,25.1,22.8,14.172494172494162,0.5,98
22:06,22.3,66.5,26.4,25.1,22.9,13.659673659673665,-2,98
23:12,21.1,74.6,25.5,24.8,23.1,12.121212121212121,-2,98
