Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Intensidade luminosa (lux),Bateria (%)
11:41,-2,-2,24.1,-127,23.3,12.354312354312354,2.3,97
12:48,-2,-2,24.9,23.7,23.3,12.354312354312354,8.8,97
13:55,-2,-2,26.4,24,23.3,12.587412587412587,3.7,97
18:24,-2,-2,31.3,26.7,24.1,10.955710955710956,39185.7,97
19:30,-2,-2,31.1,27.1,24.4,10.722610722610723,231714,97
20:36,-2,-2,30.1,27.3,24.7,10.48951048951049,2.3,97
21:42,25.2,61,28.9,27.2,24.9,10.48951048951049,13.9,97
22:49,22.6,64.1,27.9,26.9,25.1,10.48951048951049,-2,97
23:55,21.3,68.2,27.1,26.7,25.1,10.512820512820516,-2,97
