Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
10:51,30.1,25.8,25.1,21.283018867924522,94
11:58,30.9,26.4,25.1,20.981132075471706,94
13:05,30.9,26.9,25.3,20.8301886792453,94
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
14:12,30.5,27.2,25.4,20.716981132075464,94
15:19,30.3,27.4,25.6,20.67924528301885,94
16:28,30,27.5,25.8,20.754716981132077,94
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
18:39,30,27.7,26,20.528301886792445,94
19:46,29.7,27.7,26.1,20.45283018867926,94
20:52,28.8,27.7,26.1,20.528301886792445,94
21:58,27.9,27.5,26.2,20.45283018867926,94
23:04,27,27.3,26.3,21.358490566037744,94
