1:01,21.7,23.4,23.5,27.24528301886794,95
2:07,21.5,23.2,23.4,27.47169811320753,95
3:13,21.1,22.9,23.2,27.47169811320753,95
4:19,20.8,22.7,23.1,27.47169811320753,95
5:25,20.6,22.5,22.9,27.698113207547163,95
6:31,20.5,22.3,22.8,28.000000000000018,95
7:37,20.6,22.1,22.7,27.962264150943405,95
8:43,21.1,22.1,22.6,28.000000000000018,95
9:49,22.1,22.1,22.4,28.037735849056588,95
10:56,23.5,22.2,22.4,27.320754716981124,95
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
12:03,25.3,22.6,22.4,27.584905660377366,95
13:09,25.3,23.1,22.4,27.547169811320753,95
14:16,25,23.4,22.7,27.396226415094347,95
15:22,24.8,23.6,22.8,27.698113207547163,95
Hora,Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
17:35,24.8,23.8,23,28.415094339622623,95
